GMT;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004;meuse004
;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp;tp
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
11-7-2021 06:00;0.03;0.12;0.01;0;0.07;0.08;0.22;0.36;0;0;0;0.08;0;1.05;0.32;0.11;0.01;0.07;0.02;0.01;0.11;0.02;0.22;0.01;0.04;0;0.92;0;0.03;0.02;0.04;0.81;0.05;0.03;0.02;0;0.04;0.01;0.07;0;0.13;0.09;0.36;0;0;0.06;0.03;0.06;0.01;0.08
11-7-2021 07:00;0.03;0;0.01;0.07;0.1;0.15;0.03;0;0.01;0.07;0.03;0.01;0;0.01;0.03;0.07;0.12;0;0.07;0.04;0;0.1;0;0.03;0.13;0.02;0.05;0.05;0.02;0.01;0.04;0.01;0.07;0.01;0.01;0;0.09;0.08;0.09;0.01;0.01;0.02;0;0.07;0.03;0.08;0.01;0.12;0.04;0.06
11-7-2021 08:00;0.02;0;0;0.07;0.1;0.15;0.03;0;0;0.07;0.03;0.01;0;0.01;0.03;0.06;0.12;0;0.07;0.04;0;0.1;0;0.03;0.13;0.02;0.04;0.05;0.01;0.01;0.04;0.01;0.07;0;0.01;0;0.09;0.08;0.09;0.01;0.01;0.02;0;0.07;0.03;0.08;0.01;0.12;0.04;0.06
11-7-2021 09:00;0.03;0.01;0.01;0.07;0.1;0.16;0.03;0.01;0.01;0.07;0.03;0.01;0.01;0.01;0.04;0.07;0.12;0;0.07;0.04;0.01;0.1;0;0.03;0.14;0.02;0.05;0.05;0.02;0.01;0.04;0.01;0.07;0;0.01;0;0.09;0.08;0.09;0.01;0.02;0.02;0;0.07;0.03;0.08;0.01;0.12;0.04;0.06
11-7-2021 10:00;0.02;0;0;0.06;0.1;0.15;0.03;0;0.01;0.07;0.03;0.01;0;0.01;0.03;0.06;0.12;0;0.07;0.04;0;0.1;0;0.03;0.13;0.02;0.04;0.05;0.01;0.01;0.04;0;0.06;0;0.01;0;0.09;0.08;0.09;0;0.01;0.02;0;0.07;0.03;0.07;0;0.11;0.04;0.06
11-7-2021 11:00;0.02;0;0;0.07;0.1;0.15;0.03;0;0;0.07;0.03;0.01;0;0.01;0.03;0.06;0.12;0;0.07;0.04;0;0.1;0;0.03;0.13;0.02;0.05;0.05;0.02;0.01;0.04;0.01;0.07;0.01;0.01;0;0.09;0.08;0.09;0.01;0.01;0.02;0;0.07;0.03;0.08;0.01;0.12;0.04;0.06
11-7-2021 12:00;0.02;0;0;0.06;0.1;0.15;0.03;0;0.01;0.07;0.03;0.01;0;0.01;0.03;0.06;0.12;0;0.07;0.04;0;0.1;0;0.03;0.13;0.02;0.05;0.05;0.02;0.01;0.04;0;0.07;0;0.01;0;0.09;0.08;0.09;0.01;0.01;0.02;0;0.07;0.03;0.07;0.01;0.12;0.04;0.06
11-7-2021 13:00;0;0;0;0.04;0.16;0.04;0.01;0;0.01;0.05;0.02;0.02;0;0.02;0.04;0.03;0.17;0.01;0.08;0.02;0.01;0.03;0;0.04;0.03;0.04;0.02;0.06;0.06;0.05;0.06;0.02;0.05;0.04;0.02;0;0.02;0.06;0.01;0.01;0;0.01;0.01;0.05;0.05;0.02;0.01;0.08;0;0.08
